ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Distance,Fuel,Brakes,Speed,Range,RPM,Accelerator pedal position,Engine fuel rate,Days,Trips,TripperDay,DistanceperTrip,TripsinDay,DistanceinDay,TripsinNight,DistanceinNight,TripsinWeekdays,DistanceinWeekdays,TripsinWeekends,DistanceinWeekends,Trips<15m,15m<Trips<30m,30m<Trips<1h,1h<Trips<2h,Trips>2h
14806280523,48,62,72,118,2427.8,892.41,686,52.05503951,11.55214676,831.4594976,16.70889077,15.44941434,5,22,4.4,110.3545455,12,976.2,10,1451.6,18,1772.1,4,655.7,5,1,3,7,6
14806280702,18,31,96,161,3099.9,990.81,541,54.39727044,7.666966561,889.5773155,18.13716709,15.97793163,6,23,3.833333333,134.7782609,13,1444.3,10,1655.6,18,2086.8,5,1013.1,6,5,5,1,6
14806280834,124,153,139,195,2832,1093.43,782,50.59732341,10.15960908,919.5037546,19.08382334,16.67864325,6,22,3.666666667,128.7272727,19,2090.5,3,741.5,13,1200.2,9,1631.8,9,6,2,0,5
14806280837,76,248,201,199,3419.7,1292.33,1516,49.56921066,8.194346851,954.289993,19.39300811,16.74489632,5,26,5.2,131.5269231,16,1453.4,10,1966.3,15,2322,11,1097.7,5,2,3,7,9
14806281155,49,128,203,256,3376.5,1241.21,891,56.61434362,7.716808098,979.7408241,21.80729565,18.22194326,6,25,4.166666667,135.06,16,1496.1,9,1880.4,20,2407.6,5,968.9,6,5,5,0,9
14806290095,83,57,439,248,3157.3,1189.09,1554,42.28805814,3.362790108,1154.132677,31.23892838,16.0600647,6,75,12.5,42.09733333,57,1757.7,18,1399.6,56,2381.4,19,775.9,32,14,5,9,15
14806290096,234,64,357,401,3575,1077.11,3719,37.77048842,4.901634211,1022.828257,21.75842005,11.40308773,6,100,16.66666667,35.75,68,1807.8,32,1767.2,79,2074,21,1501,50,10,9,11,20
14806290106,8,19,50,143,2075,723.26,1636,35.91230955,10.92867173,894.7642038,20.14608917,11.26980255,4,28,7,74.10714286,23,1591.5,5,483.5,15,1118.6,13,956.4,10,2,3,3,10
14806290108,192,226,633,916,4041.4,1036.16,3267,46.92066513,5.223567232,894.4431572,19.90685561,9.41682944,6,64,10.66666667,63.146875,46,2447.3,18,1594.1,44,2765.6,20,1275.8,23,5,10,7,19
14806290154,0,15,107,115,1830.6,570.47,944,35.4348905,5.390362628,940.7367658,21.27025381,10.79717186,5,50,10,36.612,42,1459,8,371.6,32,1491,18,339.6,21,6,11,3,9
14806290164,12,10,190,284,2900.6,843.81,3884,36.95228704,4.092687747,967.1832692,18.01004023,9.666638971,6,93,15.5,31.18924731,61,1288.3,32,1612.3,63,2244.1,30,656.5,49,13,11,6,14
14806290516,0,0,828,607,802.1,106.32,2933,21.90519866,1.354510623,980.8497625,16.8989851,2.902240337,6,49,8.166666667,16.36938776,45,625.2,4,176.9,41,730.1,8,72,22,3,8,9,7
14806290546,0,0,7,40,361.2,67.09,224,19.08586472,2.266849571,542.1899554,9.654272985,3.708707979,5,7,1.4,51.6,6,360.3,1,0.9,6,361.1,1,0.1,1,0,2,2,2
14806290774,0,0,56,315,845.2,221.28,1417,27.73228644,2.886813472,814.5147219,21.25779716,5.166802981,5,22,4.4,38.41818182,19,627.4,3,217.8,19,739.7,3,105.5,7,4,2,6,3
14806290896,5,30,202,227,3001.1,621.57,1947,50.36832037,1.932982312,1019.063321,25.47149598,10.16873486,6,62,10.33333333,48.40483871,31,1526.5,31,1474.6,42,2002.3,20,998.8,38,8,3,1,12
14807390971,2,9,82,218,2270.6,726.15,476,44.17219509,9.417963775,776.659612,13.47024827,11.93688102,5,23,4.6,98.72173913,16,741.3,7,1529.3,13,1303.8,10,966.8,11,2,1,4,5
14807391048,4,32,50,90,1497,443.72,632,40.9926249,11.25752576,679.754879,12.35175644,10.69369633,6,15,2.5,99.8,10,846.6,5,650.4,13,1497,2,0,4,1,5,1,4
14807391195,1,30,65,130,2274.7,707.49,644,46.33110231,9.071057133,822.3908195,15.80766123,13.93258445,6,26,4.333333333,87.48846154,20,1325.9,6,948.8,15,1158.7,11,1116,10,5,1,3,7
14807398730,4,7,34,41,436.2,1052.25,162,7.519120593,9.579510829,833.5792823,14.92355518,13.39465888,6,42,7,10.38571429,16,81,26,355.2,33,429.8,9,6.4,29,2,2,2,7
14807399171,0,75,89,247,6043.7,1377.85,982,65.60936409,14.86716798,960.9613466,17.459886,15.09434004,6,49,8.166666667,123.3408163,31,2669.5,18,3374.2,36,4100,13,1943.7,18,4,3,6,18
14807399278,4,1,90,389,4913.3,908.73,896,56.34790168,5.970968255,836.2590837,11.98145154,10.74973515,6,43,7.166666667,114.2627907,22,1909.8,21,3003.5,30,3275.8,13,1637.5,26,3,1,0,13
14807399281,163,214,122,179,5384.5,1200.22,862,66.21419411,14.78656608,912.7772272,4.715981735,14.17649373,6,34,5.666666667,158.3676471,19,2023.3,15,3361.2,22,3615.5,12,1769,15,3,1,1,14
14807399316,259,254,409,294,4633.6,1605.75,1289,51.55670269,26.78059738,953.0809647,21.83976196,18.23989116,5,36,7.2,128.7111111,27,1886.5,9,2747.1,27,3409.8,9,1223.8,8,3,6,5,14
14807399353,0,0,631,731,880.8,406.13,2488,26.73331797,0.296528968,964.7607468,19.27882909,9.819932004,6,55,9.166666667,16.01454545,4,3.9,51,876.9,35,614.4,20,266.4,17,7,19,10,2
